1 101085_x2_HR.png	101085_x2_SR.png
27.3288	0.8033	
2 101087_x2_HR.png	101087_x2_SR.png
32.9813	0.9274	
3 102061_x2_HR.png	102061_x2_SR.png
30.9708	0.9212	
4 103070_x2_HR.png	103070_x2_SR.png
36.0124	0.9606	
5 105025_x2_HR.png	105025_x2_SR.png
30.3014	0.8988	
6 106024_x2_HR.png	106024_x2_SR.png
38.3816	0.9607	
7 108005_x2_HR.png	108005_x2_SR.png
32.5554	0.9394	
8 108070_x2_HR.png	108070_x2_SR.png
27.3638	0.8659	
9 108082_x2_HR.png	108082_x2_SR.png
32.4465	0.9287	
10 109053_x2_HR.png	109053_x2_SR.png
34.2651	0.9364	
11 119082_x2_HR.png	119082_x2_SR.png
29.8950	0.9150	
12 12084_x2_HR.png	12084_x2_SR.png
34.6080	0.9372	
13 123074_x2_HR.png	123074_x2_SR.png
35.6049	0.9519	
14 126007_x2_HR.png	126007_x2_SR.png
35.1761	0.9416	
15 130026_x2_HR.png	130026_x2_SR.png
29.4396	0.8901	
16 134035_x2_HR.png	134035_x2_SR.png
32.7763	0.9472	
17 14037_x2_HR.png	14037_x2_SR.png
39.0955	0.9594	
18 143090_x2_HR.png	143090_x2_SR.png
37.3868	0.9607	
19 145086_x2_HR.png	145086_x2_SR.png
29.6166	0.8780	
20 147091_x2_HR.png	147091_x2_SR.png
30.1504	0.9146	
21 148026_x2_HR.png	148026_x2_SR.png
27.3751	0.9128	
22 148089_x2_HR.png	148089_x2_SR.png
29.5554	0.8899	
23 156065_x2_HR.png	156065_x2_SR.png
27.6174	0.7867	
24 157055_x2_HR.png	157055_x2_SR.png
31.4917	0.9441	
25 159008_x2_HR.png	159008_x2_SR.png
33.4863	0.9521	
26 160068_x2_HR.png	160068_x2_SR.png
32.0000	0.9432	
27 16077_x2_HR.png	16077_x2_SR.png
32.4693	0.9057	
28 163085_x2_HR.png	163085_x2_SR.png
35.2195	0.9397	
29 167062_x2_HR.png	167062_x2_SR.png
37.9069	0.9662	
30 167083_x2_HR.png	167083_x2_SR.png
23.2283	0.7793	
31 170057_x2_HR.png	170057_x2_SR.png
35.5984	0.9499	
32 175032_x2_HR.png	175032_x2_SR.png
24.9623	0.7958	
33 175043_x2_HR.png	175043_x2_SR.png
30.4541	0.9074	
34 182053_x2_HR.png	182053_x2_SR.png
28.2207	0.9031	
35 189080_x2_HR.png	189080_x2_SR.png
40.0773	0.9539	
36 19021_x2_HR.png	19021_x2_SR.png
31.8331	0.9080	
37 196073_x2_HR.png	196073_x2_SR.png
30.1540	0.7275	
38 197017_x2_HR.png	197017_x2_SR.png
31.4809	0.8687	
39 208001_x2_HR.png	208001_x2_SR.png
34.5701	0.9410	
40 210088_x2_HR.png	210088_x2_SR.png
44.3175	0.9892	
41 21077_x2_HR.png	21077_x2_SR.png
32.2273	0.8950	
42 216081_x2_HR.png	216081_x2_SR.png
29.9660	0.8874	
43 219090_x2_HR.png	219090_x2_SR.png
31.3128	0.8936	
44 220075_x2_HR.png	220075_x2_SR.png
34.5704	0.9698	
45 223061_x2_HR.png	223061_x2_SR.png
30.1160	0.9137	
46 227092_x2_HR.png	227092_x2_SR.png
39.2131	0.9523	
47 229036_x2_HR.png	229036_x2_SR.png
27.9722	0.8722	
48 236037_x2_HR.png	236037_x2_SR.png
29.1562	0.8709	
49 24077_x2_HR.png	24077_x2_SR.png
34.6093	0.9735	
50 241004_x2_HR.png	241004_x2_SR.png
35.8617	0.9293	
51 241048_x2_HR.png	241048_x2_SR.png
28.5193	0.8391	
52 253027_x2_HR.png	253027_x2_SR.png
29.2691	0.9000	
53 253055_x2_HR.png	253055_x2_SR.png
35.8474	0.9291	
54 260058_x2_HR.png	260058_x2_SR.png
36.1051	0.9102	
55 271035_x2_HR.png	271035_x2_SR.png
34.0280	0.9384	
