1 101085_x4_HR.png	101085_x4_SR.png
24.1484	0.5860	
2 101087_x4_HR.png	101087_x4_SR.png
28.8487	0.8140	
3 102061_x4_HR.png	102061_x4_SR.png
26.8099	0.8208	
4 103070_x4_HR.png	103070_x4_SR.png
30.7421	0.8481	
5 105025_x4_HR.png	105025_x4_SR.png
26.2884	0.7121	
6 106024_x4_HR.png	106024_x4_SR.png
34.1388	0.8987	
7 108005_x4_HR.png	108005_x4_SR.png
26.4430	0.7541	
8 108070_x4_HR.png	108070_x4_SR.png
23.1219	0.5936	
9 108082_x4_HR.png	108082_x4_SR.png
27.5998	0.7929	
10 109053_x4_HR.png	109053_x4_SR.png
29.3812	0.8050	
11 119082_x4_HR.png	119082_x4_SR.png
24.8147	0.7501	
12 12084_x4_HR.png	12084_x4_SR.png
27.9907	0.7544	
13 123074_x4_HR.png	123074_x4_SR.png
30.1291	0.8139	
14 126007_x4_HR.png	126007_x4_SR.png
29.4738	0.8363	
15 130026_x4_HR.png	130026_x4_SR.png
25.1085	0.6765	
16 134035_x4_HR.png	134035_x4_SR.png
24.9161	0.7673	
17 14037_x4_HR.png	14037_x4_SR.png
34.9253	0.8977	
18 143090_x4_HR.png	143090_x4_SR.png
33.3635	0.8966	
19 145086_x4_HR.png	145086_x4_SR.png
26.3735	0.7457	
20 147091_x4_HR.png	147091_x4_SR.png
26.1078	0.8023	
21 148026_x4_HR.png	148026_x4_SR.png
22.3515	0.7116	
22 148089_x4_HR.png	148089_x4_SR.png
24.1479	0.6453	
23 156065_x4_HR.png	156065_x4_SR.png
24.8542	0.5698	
24 157055_x4_HR.png	157055_x4_SR.png
26.7737	0.8024	
25 159008_x4_HR.png	159008_x4_SR.png
27.7873	0.8309	
26 160068_x4_HR.png	160068_x4_SR.png
27.0685	0.8360	
27 16077_x4_HR.png	16077_x4_SR.png
27.8139	0.7388	
28 163085_x4_HR.png	163085_x4_SR.png
29.6891	0.8052	
29 167062_x4_HR.png	167062_x4_SR.png
32.9034	0.9044	
30 167083_x4_HR.png	167083_x4_SR.png
19.9118	0.5045	
31 170057_x4_HR.png	170057_x4_SR.png
29.9093	0.8220	
32 175032_x4_HR.png	175032_x4_SR.png
20.9857	0.4441	
33 175043_x4_HR.png	175043_x4_SR.png
25.3029	0.6761	
34 182053_x4_HR.png	182053_x4_SR.png
24.6704	0.7721	
35 189080_x4_HR.png	189080_x4_SR.png
35.5870	0.8960	
36 19021_x4_HR.png	19021_x4_SR.png
27.0994	0.7487	
37 196073_x4_HR.png	196073_x4_SR.png
27.9809	0.5125	
38 197017_x4_HR.png	197017_x4_SR.png
28.3580	0.7239	
39 208001_x4_HR.png	208001_x4_SR.png
28.6534	0.7570	
40 210088_x4_HR.png	210088_x4_SR.png
36.9433	0.9644	
41 21077_x4_HR.png	21077_x4_SR.png
27.0849	0.7565	
42 216081_x4_HR.png	216081_x4_SR.png
26.0686	0.7345	
43 219090_x4_HR.png	219090_x4_SR.png
26.9569	0.7636	
44 220075_x4_HR.png	220075_x4_SR.png
28.2254	0.8816	
45 223061_x4_HR.png	223061_x4_SR.png
25.0754	0.7098	
46 227092_x4_HR.png	227092_x4_SR.png
34.9052	0.8719	
47 229036_x4_HR.png	229036_x4_SR.png
22.9254	0.6349	
48 236037_x4_HR.png	236037_x4_SR.png
25.0043	0.6357	
49 24077_x4_HR.png	24077_x4_SR.png
27.9030	0.8863	
50 241004_x4_HR.png	241004_x4_SR.png
32.3191	0.8434	
51 241048_x4_HR.png	241048_x4_SR.png
24.9233	0.6210	
52 253027_x4_HR.png	253027_x4_SR.png
22.8324	0.7135	
53 253055_x4_HR.png	253055_x4_SR.png
32.7474	0.8529	
54 260058_x4_HR.png	260058_x4_SR.png
32.6243	0.7997	
55 271035_x4_HR.png	271035_x4_SR.png
28.1410	0.7895	
56 285079_x4_HR.png	285079_x4_SR.png
25.8297	0.7031	
57 291000_x4_HR.png	291000_x4_SR.png
21.5185	0.4405	
58 295087_x4_HR.png	295087_x4_SR.png
27.5578	0.7277	
59 296007_x4_HR.png	296007_x4_SR.png
32.0523	0.7944	
60 296059_x4_HR.png	296059_x4_SR.png
31.4071	0.7919	
61 299086_x4_HR.png	299086_x4_SR.png
31.8388	0.8153	
62 300091_x4_HR.png	300091_x4_SR.png
29.1780	0.7923	
63 302008_x4_HR.png	302008_x4_SR.png
34.2879	0.9524	
64 304034_x4_HR.png	304034_x4_SR.png
24.4362	0.6768	
65 304074_x4_HR.png	304074_x4_SR.png
26.0821	0.6241	
66 306005_x4_HR.png	306005_x4_SR.png
28.3152	0.7902	
67 3096_x4_HR.png	3096_x4_SR.png
40.3191	0.9816	
68 33039_x4_HR.png	33039_x4_SR.png
21.0452	0.5866	
69 351093_x4_HR.png	351093_x4_SR.png
22.7999	0.6520	
70 361010_x4_HR.png	361010_x4_SR.png
29.1355	0.8209	
71 37073_x4_HR.png	37073_x4_SR.png
31.1657	0.8349	
72 376043_x4_HR.png	376043_x4_SR.png
25.5193	0.6004	
73 38082_x4_HR.png	38082_x4_SR.png
27.2337	0.6058	
74 38092_x4_HR.png	38092_x4_SR.png
26.3515	0.6999	
75 385039_x4_HR.png	385039_x4_SR.png
24.2429	0.7067	
76 41033_x4_HR.png	41033_x4_SR.png
30.7447	0.7914	
77 41069_x4_HR.png	41069_x4_SR.png
23.6772	0.4841	
78 42012_x4_HR.png	42012_x4_SR.png
29.9505	0.8206	
79 42049_x4_HR.png	42049_x4_SR.png
33.1828	0.9543	
80 43074_x4_HR.png	43074_x4_SR.png
29.7832	0.8206	
81 45096_x4_HR.png	45096_x4_SR.png
36.0864	0.9410	
82 54082_x4_HR.png	54082_x4_SR.png
28.6247	0.7187	
83 55073_x4_HR.png	55073_x4_SR.png
22.3184	0.5369	
84 58060_x4_HR.png	58060_x4_SR.png
21.1055	0.6145	
85 62096_x4_HR.png	62096_x4_SR.png
25.7470	0.7998	
86 65033_x4_HR.png	65033_x4_SR.png
25.1184	0.6049	
87 66053_x4_HR.png	66053_x4_SR.png
27.4606	0.7045	
88 69015_x4_HR.png	69015_x4_SR.png
30.9581	0.8147	
89 69020_x4_HR.png	69020_x4_SR.png
27.2813	0.5654	
90 69040_x4_HR.png	69040_x4_SR.png
25.3281	0.6634	
91 76053_x4_HR.png	76053_x4_SR.png
29.1736	0.7140	
92 78004_x4_HR.png	78004_x4_SR.png
27.4521	0.7804	
93 8023_x4_HR.png	8023_x4_SR.png
30.8426	0.8783	
94 85048_x4_HR.png	85048_x4_SR.png
26.1546	0.7261	
95 86000_x4_HR.png	86000_x4_SR.png
26.7463	0.8197	
96 86016_x4_HR.png	86016_x4_SR.png
21.9581	0.3232	
97 86068_x4_HR.png	86068_x4_SR.png
27.0730	0.5633	
98 87046_x4_HR.png	87046_x4_SR.png
26.4033	0.7811	
99 89072_x4_HR.png	89072_x4_SR.png
27.0278	0.7415	
100 97033_x4_HR.png	97033_x4_SR.png
25.1506	0.7345	
avg_psnr:27.7292	avg_ssim:0.7422
