1 img001_x4_HR.png	img001_x4_SR.png
28.3482	0.7886	
2 img002_x4_HR.png	img002_x4_SR.png
27.6586	0.8490	
3 img003_x4_HR.png	img003_x4_SR.png
24.0695	0.6981	
4 img004_x4_HR.png	img004_x4_SR.png
24.8597	0.8747	
5 img005_x4_HR.png	img005_x4_SR.png
29.7815	0.9635	
6 img006_x4_HR.png	img006_x4_SR.png
22.9434	0.6478	
7 img007_x4_HR.png	img007_x4_SR.png
29.9667	0.8734	
8 img008_x4_HR.png	img008_x4_SR.png
21.8292	0.6895	
9 img009_x4_HR.png	img009_x4_SR.png
34.4916	0.9296	
10 img010_x4_HR.png	img010_x4_SR.png
28.0898	0.9009	
11 img011_x4_HR.png	img011_x4_SR.png
18.4570	0.8241	
12 img012_x4_HR.png	img012_x4_SR.png
24.3104	0.7615	
13 img013_x4_HR.png	img013_x4_SR.png
30.0908	0.8543	
14 img014_x4_HR.png	img014_x4_SR.png
22.6582	0.7135	
15 img015_x4_HR.png	img015_x4_SR.png
26.7943	0.7547	
16 img016_x4_HR.png	img016_x4_SR.png
31.0901	0.9211	
17 img017_x4_HR.png	img017_x4_SR.png
26.2690	0.8472	
18 img018_x4_HR.png	img018_x4_SR.png
26.4518	0.7167	
19 img019_x4_HR.png	img019_x4_SR.png
22.8793	0.8364	
20 img020_x4_HR.png	img020_x4_SR.png
22.4024	0.7361	
21 img021_x4_HR.png	img021_x4_SR.png
30.2995	0.8030	
22 img022_x4_HR.png	img022_x4_SR.png
26.1746	0.7644	
23 img023_x4_HR.png	img023_x4_SR.png
30.8832	0.9221	
24 img024_x4_HR.png	img024_x4_SR.png
21.3545	0.7158	
25 img025_x4_HR.png	img025_x4_SR.png
32.8054	0.9120	
26 img026_x4_HR.png	img026_x4_SR.png
28.8531	0.7298	
27 img027_x4_HR.png	img027_x4_SR.png
28.6427	0.8114	
28 img028_x4_HR.png	img028_x4_SR.png
31.9445	0.8867	
29 img029_x4_HR.png	img029_x4_SR.png
28.1105	0.8903	
30 img030_x4_HR.png	img030_x4_SR.png
25.2861	0.8431	
31 img031_x4_HR.png	img031_x4_SR.png
24.3681	0.8014	
32 img032_x4_HR.png	img032_x4_SR.png
29.5434	0.8668	
33 img033_x4_HR.png	img033_x4_SR.png
28.2223	0.8375	
34 img034_x4_HR.png	img034_x4_SR.png
23.4422	0.6035	
35 img035_x4_HR.png	img035_x4_SR.png
30.3066	0.8981	
